Url,Start,Stop
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2143394016132,2294392455110
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188423371619,2297890128971
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188472185695,2297891196790
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188424981448,2297987598721
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188474781841,2297990274283
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188421141340,2298199424904
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188410983710,2298390572940
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188412218148,2298489597052
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188412370295,2298490221457
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188422414393,2299126645083
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188433966811,2299188680417
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188412516143,2299190120423
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2143391818872,2299288710884
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188413028363,2299289930941
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2143402860189,2299291213169
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188413933084,2299388286367
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188409751511,2299488580674
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188431702946,2299488981894
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188426590008,2299491483480
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188418299053,2299494221868
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188418059339,2299587367783
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188409112051,2299590482549
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188433426367,2299591080280
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188439743333,2299690084516
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188470410024,2299787861223
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188437445031,2299787986363
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188451678773,2299888883593
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188435265349,2299889589429
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188418590347,2299890334952
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188419658736,2299892750988
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188434478276,2299988801457
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188460065926,2299990974913
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188472363950,2299991634984
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188422706623,2300088502592
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188408673555,2300188229696
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188431480759,2300189787519
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188435417625,2300193176265
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188412064755,2300389413942
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188424791295,2300390107691
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188445379713,2300390924548
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188425194253,2300391705068
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188429392249,2300489768142
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188428956243,2300490745975
http://172.16.192.17:30080/tools.descartes.teastore.webui/,2188465911083,2300587608604
